epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.4044,1.38687,4.33571,1.22659,0.0085,0.1572,0.04595,0.03763,1.15236,4.32501,1.00055,6.152e-05,6.152e-05,6.152e-05
2,150.455,1.38822,3.81192,1.11863,0.01199,0.20516,0.08571,0.07141,1.11176,4.13933,0.99419,0.000128142,0.000128142,0.000128142
3,225.689,1.27117,3.12945,1.02678,0.04252,0.24557,0.11205,0.08363,1.15145,3.91291,0.98457,0.000192022,0.000192022,0.000192022
4,320.478,1.33854,2.37979,1.01521,0.05224,0.29463,0.12413,0.08775,1.23818,3.76804,1.02967,0.000253162,0.000253162,0.000253162
5,478.501,1.31501,2.02261,1.00576,0.04676,0.35455,0.11728,0.0858,1.16357,3.08577,1.01855,0.000311562,0.000311562,0.000311562
6,611.872,1.21366,1.81754,1.01678,0.04096,0.30059,0.08945,0.05619,1.21074,3.18201,1.01779,0.000367221,0.000367221,0.000367221
7,712.057,1.14757,1.6502,0.99907,0.03933,0.38205,0.1131,0.06124,1.31647,2.88676,1.02092,0.000420139,0.000420139,0.000420139
8,795.472,1.2232,1.70717,0.99982,0.78115,0.0719,0.09868,0.06125,1.18785,3.1171,0.9821,0.000470316,0.000470316,0.000470316
9,862.899,1.09618,1.50513,0.9734,0.83011,0.16861,0.17094,0.10407,1.1657,1.70002,0.97617,0.000517752,0.000517752,0.000517752
